,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
0,Chromscape_LSI,H3K27me3,scChIP_Grosselin_2019,500,raw,0.9522202753675676,0.979636312479137,0.9438196011809624,0.972593480280367,0.4449970110170558
1,Chromscape_PCA,H3K27me3,scChIP_Grosselin_2019,500,raw,0.0087289297504411,-0.013174237871162,0.007397234726352,-0.018064953771025,-0.0245003783167514
2,Signac,H3K27me3,scChIP_Grosselin_2019,500,raw,0.0408147117967561,0.0710054380249508,0.0148257254061647,0.0195144957468098,0.0247350547239099
3,SnapATAC,H3K27me3,scChIP_Grosselin_2019,500,raw,0.989458630558092,0.9964437568216268,0.9832184280462186,0.9937804515903308,0.7790481626885506
4,cisTopic,H3K27me3,scChIP_Grosselin_2019,500,raw,0.9970891396976403,0.9991103851753956,0.9861414920429364,0.994668595273186,0.600523742722143
5,PeakVI,H3K27me3,scChIP_Grosselin_2019,500,raw,0.9902164123329644,0.9964440547233944,0.9881450850126112,0.9955561156353696,0.3865609195602985
6,SCALE,H3K27me3,scChIP_Grosselin_2019,500,raw,0.9263217865852956,0.9612512805256436,0.5844537032867252,0.5956107455415564,0.4173995309505707
7,NMF,H3K27me3,scChIP_Grosselin_2019,500,raw,-0.0001282954623838,-0.0001776553354992,-0.0001282954623838,-0.0001776553354992,0.3463788009341849
8,TFIDF-NMF,H3K27me3,scChIP_Grosselin_2019,500,raw,0.9870151198215484,0.9955558683313308,0.9970891396976403,0.9991103851753956,0.2991500543678463
9,Chromscape_LSI,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.8930722498349138,0.9464412902473284,0.7880687470460704,0.8523889796867754,0.4314532827556386
10,Chromscape_PCA,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.0050484305320538,-0.0067903690130061,0.0087427205701524,-0.0157767328575822,-0.0213238910024129
11,Signac,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.0476110881380367,0.0877787882206596,0.0197678789370512,0.0402151269876705,0.012492782747771
12,SnapATAC,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.9832184280462188,0.9937804515903308,0.9832184280462186,0.9937804515903308,0.7805097089184652
13,cisTopic,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.9970891396976403,0.9991103851753956,0.9756767346071192,0.9902345449066848,0.5025212138506767
14,PeakVI,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.9597463281347076,0.983162362621998,0.9148585395026372,0.9534247600639216,0.5719942484767283
15,SCALE,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.9481497406866682,0.9761253286642488,0.5438446686818443,0.5362878391187242,0.4514702331084466
16,NMF,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.0002141798286865,0.0002965825027288,0.0002141798286865,0.0002965825027288,0.3049652583507743
17,TFIDF-NMF,H3K27me3,scChIP_Grosselin_2019,1000,raw,0.9941779782073776,0.9982211397377496,0.9970891396976403,0.9991103851753956,0.3762716712579765
18,Chromscape_LSI,H3K27me3,scChIP_Grosselin_2019,100,raw,0.987299944854608,0.9955556192424264,0.9738851972905224,0.9893489905730192,0.4979841635571256
19,Chromscape_PCA,H3K27me3,scChIP_Grosselin_2019,100,raw,0.0105229302464623,-0.0212567336402204,-0.0001529278607746,-0.0004133656903223,-0.0315973358033472
20,Signac,H3K27me3,scChIP_Grosselin_2019,100,raw,0.0089815405919229,0.0142113728532585,0.0009473448910632,0.0038890013428964,0.0961338318188676
21,SnapATAC,H3K27me3,scChIP_Grosselin_2019,100,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.7565355649538197
22,cisTopic,H3K27me3,scChIP_Grosselin_2019,100,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.5715043240167692
23,PeakVI,H3K27me3,scChIP_Grosselin_2019,100,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.4128246580514165
24,SCALE,H3K27me3,scChIP_Grosselin_2019,100,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.3366266004561659
25,NMF,H3K27me3,scChIP_Grosselin_2019,100,raw,0.0002141798286865,0.0002965825027288,0.0002141798286865,0.0002965825027288,0.4008151887836433
26,TFIDF-NMF,H3K27me3,scChIP_Grosselin_2019,100,raw,0.989458630558092,0.9964437568216268,0.9970891396976403,0.9991103851753956,0.2679626802190571
27,Chromscape_LSI,H3K27me3,scChIP_Grosselin_2019,300,raw,0.9763486228392928,0.9911212199138616,0.9620723741376858,0.9831604348277752,0.4467039806527099
28,Chromscape_PCA,H3K27me3,scChIP_Grosselin_2019,300,raw,0.0071187543583427,-0.0135418001790249,0.0088500176092417,-0.0184329107925943,-0.0250475311243013
29,Signac,H3K27me3,scChIP_Grosselin_2019,300,raw,0.0323101354821926,0.0524858905774319,0.0122014161327961,0.0331380908773111,0.0411218449870924
30,SnapATAC,H3K27me3,scChIP_Grosselin_2019,300,raw,0.9941779782073776,0.9982211397377496,0.9832184280462186,0.9937804515903308,0.773503303575154
31,cisTopic,H3K27me3,scChIP_Grosselin_2019,300,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.5865941731513602
32,PeakVI,H3K27me3,scChIP_Grosselin_2019,300,raw,0.989458630558092,0.9964437568216268,0.9358617010952216,0.9664885362141096,0.4725559930320228
33,SCALE,H3K27me3,scChIP_Grosselin_2019,300,raw,0.9861414920429364,0.994668595273186,0.9946430941262214,0.9982211894100522,0.4447660825222252
34,NMF,H3K27me3,scChIP_Grosselin_2019,300,raw,0.0002141798286865,0.0002965825027288,0.0002141798286865,0.0002965825027288,0.3713462443245727
35,TFIDF-NMF,H3K27me3,scChIP_Grosselin_2019,300,raw,0.9517768445717976,0.9778709734253296,0.9970891396976403,0.9991103851753956,0.3420068654838078
36,Chromscape_LSI,H3K27me3,scChIP_Grosselin_2019,200,raw,0.9848545392091532,0.994668000804399,0.9970891396976403,0.9991103851753956,0.4513529400810961
37,Chromscape_PCA,H3K27me3,scChIP_Grosselin_2019,200,raw,0.009908614533863,-0.0186093499709091,0.0090458221184885,-0.0136470536589339,-0.0278667819934677
38,Signac,H3K27me3,scChIP_Grosselin_2019,200,raw,0.0431374976787815,0.057839662435269,0.0124079136835258,0.030468599419773,0.0607197676814945
39,SnapATAC,H3K27me3,scChIP_Grosselin_2019,200,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.7681523683292402
40,cisTopic,H3K27me3,scChIP_Grosselin_2019,200,raw,0.9970891396976403,0.9991103851753956,0.9970891396976403,0.9991103851753956,0.7095268451255556
41,PeakVI,H3K27me3,scChIP_Grosselin_2019,200,raw,0.987299944854608,0.9955556192424264,0.9970891396976403,0.9991103851753956,0.6225532117033382
42,SCALE,H3K27me3,scChIP_Grosselin_2019,200,raw,0.974649378104774,0.9902350980577468,0.7082292500989025,0.7700688161839961,0.4399188808729951
43,NMF,H3K27me3,scChIP_Grosselin_2019,200,raw,0.0002141798286865,0.0002965825027288,0.0002141798286865,0.0002965825027288,0.4013449165367271
44,TFIDF-NMF,H3K27me3,scChIP_Grosselin_2019,200,raw,0.9917308313301834,0.9973322636366224,0.9970891396976403,0.9991103851753956,0.2664122864116089
45,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,500,raw,0.9524908105550356,0.9777619323323984,0.9698601243913364,0.9875422680598004,0.3946375488374652
46,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,500,raw,-3.4602586286168504e-05,0.0008300347307379,-7.813120616179076e-06,-0.0011675750721563,0.0136540187865187
47,Signac,H3K4me3,scChIP_Grosselin_2019,500,raw,0.0252869825121617,-0.0020716212183459,0.0062784864049453,-0.0047537389335716,0.0158214478225796
48,SnapATAC,H3K4me3,scChIP_Grosselin_2019,500,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.6793357449486709
49,cisTopic,H3K4me3,scChIP_Grosselin_2019,500,raw,0.9943305500594728,0.9980277935074076,0.996026716420924,0.9986849787248993,0.4417157889142703
50,PeakVI,H3K4me3,scChIP_Grosselin_2019,500,raw,0.9839779250808844,0.99343357111673,0.9871881771089048,0.9954012123605844,0.3695671362003562
51,SCALE,H3K4me3,scChIP_Grosselin_2019,500,raw,0.9839779250808844,0.99343357111673,0.996026716420924,0.9986849787248993,0.4219995972232934
52,NMF,H3K4me3,scChIP_Grosselin_2019,500,raw,0.032520610971047,-0.0030310816094997,0.0428807464690952,0.0053986653222865,0.1107940489917461
53,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,500,raw,0.9896544464048536,0.996057539486796,0.996026716420924,0.9986849787248993,0.3154685412908221
54,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.929468935493863,0.9628597256104348,0.9438119723142128,0.973864166637466,0.3730841614102887
55,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.0002097869364052,0.0016357159572414,1.827345548548239e-05,0.0012845356802186,0.01431695426429
56,Signac,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.0314208287442125,0.003876648806193,0.0060811630149659,-0.0049250698088142,0.0175957490420455
57,SnapATAC,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.996026716420924,0.9986849787248993,0.9938746491686816,0.9980277914160794,0.6001729719837381
58,cisTopic,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.9943305500594728,0.9980277935074076,0.9911609424149364,0.996714073892384,0.4140722496763186
59,PeakVI,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.8987407236135452,0.9474325595956912,0.9839858020258834,0.9940892192914442,0.3672168396672188
60,SCALE,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.0682132295250676,0.0443656123687716,0.0607212513790599,0.0170786687734705,0.2877170262936819
61,NMF,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.0731477058072588,0.0041117778723576,0.1466142830360786,0.0145033838612651,0.1904603101358209
62,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,1000,raw,0.9927155593767852,0.9973708252312457,0.9943305500594728,0.9980277935074076,0.3255536490328384
63,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,10,raw,0.9218934676656866,0.9577030669788222,0.9826262713148888,0.992778121317194,0.4446869473758293
64,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,10,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0215236215045607
65,Signac,H3K4me3,scChIP_Grosselin_2019,10,raw,0.0132735544510738,-0.0057272967707762,0.0187110579593518,-0.0045268510689349,0.0216076223937877
66,SnapATAC,H3K4me3,scChIP_Grosselin_2019,10,raw,0.996026716420924,0.9986849787248993,0.9938746491686816,0.9980277914160794,0.7383861193474489
67,cisTopic,H3K4me3,scChIP_Grosselin_2019,10,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5993221806400383
68,PeakVI,H3K4me3,scChIP_Grosselin_2019,10,raw,0.9943305500594728,0.9980277935074076,0.996026716420924,0.9986849787248993,0.4603023727571528
69,SCALE,H3K4me3,scChIP_Grosselin_2019,10,raw,0.9943305500594728,0.9980277935074076,0.9943305500594728,0.9980277935074076,0.5665416514473058
70,NMF,H3K4me3,scChIP_Grosselin_2019,10,raw,0.0002456565621973,-0.0001126386884381,0.0002456565621973,-0.0001126386884381,0.3622799604641141
71,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,10,raw,0.990563673637218,0.9967140704325722,0.9943305500594728,0.9980277935074076,0.3147340933590262
72,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,50,raw,0.9503006150109544,0.9764615683421084,0.9911609424149364,0.996714073892384,0.4159933719755818
73,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,50,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0164256343857363
74,Signac,H3K4me3,scChIP_Grosselin_2019,50,raw,0.0196394143225509,-0.0064259563898669,0.0212094252462174,-0.0064823509753265,0.0153182480157098
75,SnapATAC,H3K4me3,scChIP_Grosselin_2019,50,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7533031726602601
76,cisTopic,H3K4me3,scChIP_Grosselin_2019,50,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.6223975439804461
77,PeakVI,H3K4me3,scChIP_Grosselin_2019,50,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.3730375331315144
78,SCALE,H3K4me3,scChIP_Grosselin_2019,50,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5396604321900986
79,NMF,H3K4me3,scChIP_Grosselin_2019,50,raw,0.0633254151382381,-0.0073721061124111,0.1115850267859159,-0.0002190820469547,0.2747507991585222
80,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,50,raw,0.9890091497887684,0.9960575353504556,0.9554746192824132,0.97776263476759,0.3295057356788589
81,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,20,raw,0.9363266440827194,0.9673831090766106,0.9875027480192408,0.9954012172027272,0.4318884317202361
82,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,20,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0302965013805276
83,Signac,H3K4me3,scChIP_Grosselin_2019,20,raw,0.020551322400272,-0.0064963429330306,0.0243444868350889,-0.0057664631738282,0.0185147440469542
84,SnapATAC,H3K4me3,scChIP_Grosselin_2019,20,raw,0.9921785726180712,0.9973708224531036,0.9896544464048536,0.996057539486796,0.7491139880442256
85,cisTopic,H3K4me3,scChIP_Grosselin_2019,20,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.6659050914183671
86,PeakVI,H3K4me3,scChIP_Grosselin_2019,20,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.4009250849756224
87,SCALE,H3K4me3,scChIP_Grosselin_2019,20,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5452611148418899
88,NMF,H3K4me3,scChIP_Grosselin_2019,20,raw,0.1020819752664466,-0.0027717690252095,0.9921785726180712,0.9973708224531036,0.3647782805871075
89,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,20,raw,0.9870458565017628,0.9954012025730606,0.9237631528084131,0.9589909394729416,0.3196472328195099
90,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,100,raw,0.959260897390428,0.9816681953232188,0.9881879746656694,0.9954012220104572,0.4082400935205
91,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,100,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0288549044463229
92,Signac,H3K4me3,scChIP_Grosselin_2019,100,raw,0.0251064039765687,-0.0057111322523373,0.0126751101457218,-0.0051970616681397,0.0141064950243223
93,SnapATAC,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7473141178089839
94,cisTopic,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5982898211153965
95,PeakVI,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.9938746491686816,0.9980277914160794,0.4657262115962925
96,SCALE,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.550702441227567
97,NMF,H3K4me3,scChIP_Grosselin_2019,100,raw,0.0765936485927174,-0.0062768803390669,0.0680312131599078,-0.0072717044092695,0.2564911606857132
98,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,100,raw,0.9778354558363,0.9908130639937596,0.986036371458532,0.9947451159853624,0.2971280305295984
99,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,300,raw,0.9530045547830612,0.9777619063385335,0.9804750559315693,0.9921228803391406,0.4012316891457907
100,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,300,raw,0.0011080988639185,0.0042368828853352,0.000958808556622,0.0035851892917833,0.0280925820047163
101,Signac,H3K4me3,scChIP_Grosselin_2019,300,raw,0.0264724307565084,-0.0034689553505334,-0.0001791810176138,-0.0002267652719882,0.0146683619067443
102,SnapATAC,H3K4me3,scChIP_Grosselin_2019,300,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7117843993219023
103,cisTopic,H3K4me3,scChIP_Grosselin_2019,300,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5584032132777694
104,PeakVI,H3K4me3,scChIP_Grosselin_2019,300,raw,0.9911609424149364,0.996714073892384,0.9943305500594728,0.9980277935074076,0.3491974949627486
105,SCALE,H3K4me3,scChIP_Grosselin_2019,300,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5425595390785962
106,NMF,H3K4me3,scChIP_Grosselin_2019,300,raw,0.0850842273091347,0.0038576296656183,0.1935562684859678,0.0474335116451163,0.1797270740450674
107,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,300,raw,0.9854908469522414,0.994745093696206,0.9927155593767852,0.9973708252312457,0.3298686620440149
108,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,200,raw,0.966787009401076,0.9855821991898314,0.9896544464048536,0.996057539486796,0.4055316493417967
109,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,200,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0217092821414952
110,Signac,H3K4me3,scChIP_Grosselin_2019,200,raw,0.0219324624933707,-0.0053505601180433,0.033909277101027,-0.0058580978174897,0.0141124585726848
111,SnapATAC,H3K4me3,scChIP_Grosselin_2019,200,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7302391616294422
112,cisTopic,H3K4me3,scChIP_Grosselin_2019,200,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.519951732680886
113,PeakVI,H3K4me3,scChIP_Grosselin_2019,200,raw,0.996026716420924,0.9986849787248993,0.9938746491686816,0.9980277914160794,0.3273026391055043
114,SCALE,H3K4me3,scChIP_Grosselin_2019,200,raw,0.9927155593767852,0.9973708252312457,0.9927155593767852,0.9973708252312457,0.5417068674701523
115,NMF,H3K4me3,scChIP_Grosselin_2019,200,raw,0.1021947826710539,0.0003075365770422,0.0854868222159195,-0.0058339120090458,0.1983642952480326
116,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,200,raw,0.9870458565017628,0.9954012025730606,0.9911609424149364,0.996714073892384,0.3026739923981936
117,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,30,raw,0.9434320606432588,0.9719170470533957,0.9846042649940988,0.9940892316943396,0.4232252496570259
118,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,30,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0278516978572729
119,Signac,H3K4me3,scChIP_Grosselin_2019,30,raw,0.0196721212918745,-0.006450218711974,0.0137711765908828,-0.0052937921796543,0.0167366752308011
120,SnapATAC,H3K4me3,scChIP_Grosselin_2019,30,raw,0.9943305500594728,0.9980277935074076,0.996026716420924,0.9986849787248993,0.7512570656271279
121,cisTopic,H3K4me3,scChIP_Grosselin_2019,30,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.6530317011063522
122,PeakVI,H3K4me3,scChIP_Grosselin_2019,30,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.4816040762965786
123,SCALE,H3K4me3,scChIP_Grosselin_2019,30,raw,0.9927155593767852,0.9973708252312457,0.9881879746656694,0.9954012220104572,0.5571857185142213
124,NMF,H3K4me3,scChIP_Grosselin_2019,30,raw,4.907183779239146e-05,6.811873635158313e-05,4.907183779239146e-05,6.811873635158313e-05,0.3262961453065667
125,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,30,raw,0.987046386663802,0.995401207484029,0.9943305500594728,0.9980277935074076,0.319370798646155
